file,ticker,year,month,quarter,period,management_speaker,exchange_idx,mgmt_start,mgmt_end,duration_sec,word_count,answer_text,pause_latency_sec,speech_rate_wpm,filler_rate_per_min,intra_pause_count,intra_pause_mean_sec,intra_pause_max_sec,intra_pause_total_sec,mean_pitch_hz,pitch_variance_hz,mean_rms_energy,z_pause_latency_sec,norm_type_pause_latency_sec,z_speech_rate_wpm,norm_type_speech_rate_wpm,z_filler_rate_per_min,norm_type_filler_rate_per_min,z_intra_pause_count,norm_type_intra_pause_count,z_intra_pause_mean_sec,norm_type_intra_pause_mean_sec,z_intra_pause_max_sec,norm_type_intra_pause_max_sec,z_intra_pause_total_sec,norm_type_intra_pause_total_sec,z_mean_pitch_hz,norm_type_mean_pitch_hz,z_pitch_variance_hz,norm_type_pitch_variance_hz,z_mean_rms_energy,norm_type_mean_rms_energy,acoustic_composite_z
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,17,1248.022,1288.201,40.179,72,"I think there are opportunities on the app store with artificial intelligence. And so I think, you know, as we have made our on-device models available for developers, and we've seen developers begin to adopt them. And so I think as that proliferates, there's an opportunity for developers and for Apple to benefit from that, from adding features to their apps and so forth. Thanks a lot, Tim. Appreciate it. Thank you.",2.43,107.52,10.45,12,1.018,3.003,12.217,117.93,17.76,0.060851,0.4412,speaker,-0.6931,speaker,1.3016,speaker,-0.302,speaker,0.8246,speaker,0.8411,speaker,-0.1565,speaker,-0.3484,speaker,-0.3172,speaker,0.2844,speaker,-0.4161
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,18,1320.044,1345.576,25.532,69,"It's really too early to call the mix to be honest and we don't like to publicly disclose that because of the competitive for competitive reasons. But frankly, we don't really know what the mix will be yet because we have constraints on both sides of the the ledger at the top and at the entry. And so it will see what happens in as we get more supply.",1.316,162.15,2.35,6,0.684,1.061,4.103,118.24,19.81,0.069522,-0.1565,speaker,1.6196,speaker,-0.7689,speaker,-0.8342,speaker,-1.2181,speaker,-1.1919,speaker,-0.9867,speaker,-0.3153,speaker,-0.2543,speaker,1.3626,speaker,0.6456
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,19,1366.366,1405.972,39.606,63,"Yeah, we're obviously using PCC, our private cloud compute today for a number of queries for Siri. And we will continue to build it out. In fact, the manufacturing plant that makes the servers use for Apple intelligence. just started manufacturing in Houston a few weeks ago. And we've got a ramp plan there for use in our data centers. And it's robust.",1.249,95.44,1.51,15,0.862,1.982,12.925,116.36,15.23,0.069072,-0.1924,speaker,-1.2044,speaker,-0.9836,speaker,-0.0358,speaker,-0.1295,speaker,-0.2278,speaker,-0.084,speaker,-0.5157,speaker,-0.3949,speaker,1.3067,speaker,-0.0239
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,20,1453.39,1477.977,24.587,61,"Uh, I'm not sure that there, uh, that one is a proxy for the other. Uh, the thing that I would say is that where we don't get into the model kind of demand. At the aggregate level, we are thrilled with how iPhone has been received. And that's the reason that we're expecting double digit growth in the current quarter.",2.531,148.86,9.76,5,0.729,1.402,3.644,115.49,17.12,0.064911,0.4954,speaker,1.057,speaker,1.1253,speaker,-0.9229,speaker,-0.9429,speaker,-0.835,speaker,-1.0337,speaker,-0.6084,speaker,-0.3369,speaker,0.7893,speaker,0.0685
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,22,1498.784,1540.027,41.243,62,We're obviously creating Apple Foundation models within Apple. We ship them on device and use them in the private cloud compute as well. and we've got several in development. And so we also from a continually to surveil the market on M&A and are open to pursuing M&A if we think that it will advance our roadmap. Thank you. Yep. Thank you.,1.266,90.2,2.91,16,1.051,2.822,16.812,120.97,41.53,0.065069,-0.1833,speaker,-1.4263,speaker,-0.6257,speaker,0.0529,speaker,1.0264,speaker,0.6516,speaker,0.3137,speaker,-0.0244,speaker,0.4124,speaker,0.8089,speaker,-0.0588
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,23,1580.746,1619.677,38.931,75,"I think that there are many factors that influence people's purchasing considerations and so, and we don't have a great in-depth survey yet on the current iPhone 17 because it's very new in the cycle and we give it some time to formulate. But I would say that Apple intelligence is a factor. And, you know, we're very bullish on it becoming a greater factor. And so that's the way that we look at it.",1.654,115.59,6.16,12,1.046,2.201,12.553,119.36,20.77,0.070899,0.0249,speaker,-0.3514,speaker,0.205,speaker,-0.302,speaker,0.9958,speaker,0.0015,speaker,-0.1221,speaker,-0.196,speaker,-0.2248,speaker,1.5339,speaker,0.0922
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,0,58.199,139.3,81.101,159,"Yeah, Eric. Hi, it's Tim. We did see that the markets where we had rolled out Apple Intelligence that the year over year performance on the iPhone 16 family was stronger than those where Apple Intelligence was not available. In terms of the features that people are using, they're using all of the ones that I referenced in my opening comments, from writing tools to image playground and Genmoji, to visual intelligence and more. And so we see all of those being used. The cleanup is another one that is popular and people love seeing that when demoed in the stores as well. We only had two, two and a half weeks or so during the December quarter of the second release of 18.2. And then only had the UK and the other English language countries for the two and a half weeks. And so we've got, you know, just the early indications at the moment. That's really helpful.",1.671,117.63,4.44,26,0.926,2.762,24.088,120.0,15.76,0.051518,0.034,speaker,-0.2651,speaker,-0.2346,speaker,0.94,speaker,0.2619,speaker,0.5888,speaker,1.0582,speaker,-0.1278,speaker,-0.3786,speaker,-0.8761,speaker,-0.2911
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,1,181.437,279.869,98.432,200,"Yeah, sure. If you look at our greater China revenue for the quarter, we were down 11% year over year and over half of the decline that we experienced was driven by change in channel inventory from the beginning to the end of the quarter. And of course on the Apple intelligence side, we have not rolled out in China. And as we just talked about, we did see better results in the markets that we had rolled out in than markets we hadn't rolled out in. And of course, it's the most competitive market in the world. And so all of those things are true. In terms of the macro situation, there was A fiscal stimulus or subsidy announced very recently in January that did not affect the December quarter. There were some provincial subsidies in the December quarter, but the national program was announced, I believe, on January 20th. And it does cover the categories that we have products in from smartphones to tablets and PCs and smartwatches up to a certain maximum price point. And so we do see fiscal stimulus occurring and we'll be glad to talk about what that looks like on the next call.",0.084,121.91,1.83,34,0.86,2.281,29.231,121.91,22.0,0.048634,-0.8175,speaker,-0.0839,speaker,-0.9018,speaker,1.6497,speaker,-0.1417,speaker,0.0852,speaker,1.5844,speaker,0.0758,speaker,-0.1871,speaker,-1.2347,speaker,-0.0845
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,4,338.611,384.832,46.221,104,"Sure, in general, I think innovation that drives efficiency is a good thing. And, you know, that's what you see in that model. Our tight integration of silicon and software I think will continue to serve us very well. As you know, we do things on the device and we do things in the private cloud. and which mimics from a architectural point of view what happens on device. And from a capex point of view, we've always taken a very prudent and deliberate approach to our expenditure and we continue to leverage a hybrid model, which I think continues to serve us well.",0.338,135.0,10.38,13,0.863,1.5,11.223,124.66,19.35,0.057755,-0.6812,speaker,0.4703,speaker,1.2837,speaker,-0.2132,speaker,-0.1234,speaker,-0.7324,speaker,-0.2582,speaker,0.3689,speaker,-0.2684,speaker,-0.1005,speaker,0.0853
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,7,435.085,448.248,13.163,34,"I think Ben, I think there's a lot more to come and I could not feel more optimistic about our product pipeline. So I think there's a lot of innovation left on the smartphone.",0.607,154.98,18.23,3,1.041,1.681,3.122,117.93,14.01,0.043854,-0.5369,speaker,1.3161,speaker,3.2903,speaker,-1.1004,speaker,0.9652,speaker,-0.5429,speaker,-1.0871,speaker,-0.3484,speaker,-0.4323,speaker,-1.8291,speaker,-0.5565
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,11,490.553,540.233,49.68,115,"Yeah, thank you for the question. If you look at iPhone, we did set an all-time record for Upgraders, so we've never seen a higher level of Upgraders before. The install base hit a new all-time high as well. And if you look at the 16 compared to the 15 from launch, which occurred, as you know, in September, so this is across now two quarters from September to the end of the December fiscal quarter, the 16 outperformed the 15. And so I think you can conclude from that that there are compelling reasons to upgrade. And in the markets where we had launched Apple Intelligence, they outperformed the markets that we did not.",0.945,138.89,8.45,13,0.859,2.289,11.162,126.5,20.15,0.055622,-0.3555,speaker,0.6349,speaker,0.7904,speaker,-0.2132,speaker,-0.1478,speaker,0.0936,speaker,-0.2644,speaker,0.565,speaker,-0.2439,speaker,-0.3658,speaker,0.1346
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,12,542.107,545.178,3.071,11,"So, like... Great. Thank you, Tim. That's a good color there.",7.122,214.91,19.54,1,0.56,0.56,0.56,170.71,78.4,0.051491,2.9585,speaker,3.8531,speaker,3.6252,speaker,-1.2778,speaker,-1.9764,speaker,-1.7164,speaker,-1.3492,speaker,5.2771,speaker,1.5441,speaker,-0.8794,speaker,1.5089
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,13,573.967,626.954,52.987,102,"It's a good question. iPad overall grew 15% for the quarter and it was more driven by iPad Air. and the entry level iPad than it was the top level iPad. But overall, we could not be more pleased with the iPad category growing 15%. It's a great achievement for the quarter. And probably what is most important is that over half of the sales in the December quarter went to customers who were new to the iPad. So that tells us that, you know, there's a good amount of customers there to attract. Thank you very much, Tim. Yeah, thank you.",0.794,115.5,3.4,21,0.837,2.162,17.569,126.81,23.35,0.048221,-0.4365,speaker,-0.3552,speaker,-0.5005,speaker,0.4964,speaker,-0.2824,speaker,-0.0393,speaker,0.3911,speaker,0.5981,speaker,-0.1457,speaker,-1.286,speaker,-0.0855
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,14,664.535,717.455,52.92,112,"We have great results in a number of emerging markets and as you know from past calls, I'm particularly keen on India. India set a December quarter record during the quarter. And we're opening more stores there. We've announced that we're going to open four new stores there. We also, the iPhone was the top selling model in India for the quarter. And it's the second largest smartphone market in the world and the third largest for PCs and tablets. And so there's a huge market. And we have very modest share in these markets. And so I think there's lots of upside there. And that's just one of the emerging markets.",1.536,126.98,4.54,17,0.808,1.502,13.735,127.19,15.28,0.067218,-0.0384,speaker,0.1308,speaker,-0.2091,speaker,0.1416,speaker,-0.4597,speaker,-0.7303,speaker,-0.0012,speaker,0.6386,speaker,-0.3934,speaker,1.0762,speaker,0.4094
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,15,846.683,892.263,45.58,106,"Yeah, I don't want to project sales for the current quarter by region. But if you look at the channel inventory and look at iPhone, in the aggregate. So on a worldwide basis, we're very comfortable with our channel inventory position. In China, my point was that our channel inventory reduced from the beginning of the quarter to the end of the quarter, and that was over half of the reduction in the reported results. And so if you look, part of the reason for that is that our sales were a bit higher than we forecasted them to be toward the end of the quarter.",1.417,139.53,3.95,11,0.904,1.835,9.948,120.31,17.07,0.059881,-0.1023,speaker,0.662,speaker,-0.3599,speaker,-0.3907,speaker,0.1274,speaker,-0.3817,speaker,-0.3886,speaker,-0.0947,speaker,-0.3384,speaker,0.1638,speaker,0.1475
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,16,892.567,897.308,4.741,12,And so we ended a little leaner than we had expected to.,12.269,151.87,12.66,1,0.84,0.84,0.84,113.77,10.47,0.06594,5.7199,speaker,1.1844,speaker,1.8665,speaker,-1.2778,speaker,-0.264,speaker,-1.4233,speaker,-1.3206,speaker,-0.7918,speaker,-0.541,speaker,0.9172,speaker,-0.5772
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,17,1027.921,1081.752,53.831,98,"Yeah, if you look at Mac, Mac was up 16 percent, and on iPad we were up 15 percent. The Mac was driven by a very strong uptake on our new products during the quarter and the continued success of the MacBook Air. And so, as you know, we've launched an M4-based MacBook Pro, an iMac, and a Mac Mini during the quarter. We believe we've got the best AIPC out there for running workloads. The silicon in the Mac is, and it has been for several years now, designed by us and really designed for these workloads.",1.89,109.23,3.34,19,0.928,2.181,17.633,126.26,32.48,0.061172,0.1515,speaker,-0.6207,speaker,-0.5158,speaker,0.319,speaker,0.2741,speaker,-0.0194,speaker,0.3977,speaker,0.5395,speaker,0.1346,speaker,0.3244,speaker,0.1118
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,19,1083.693,1095.404,11.711,26,"I don't want to project at the category level for the future, but we're incredibly pleased with both the Mac and the iPad for the quarter.",1.046,133.21,0.0,3,0.874,1.221,2.622,126.14,19.44,0.060809,-0.3013,speaker,0.3945,speaker,-1.3696,speaker,-1.1004,speaker,-0.0561,speaker,-1.0244,speaker,-1.1382,speaker,0.5267,speaker,-0.2657,speaker,0.2792,speaker,0.4097
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,21,1125.425,1164.288,38.863,67,"Yeah, if you look at the manufacturing we do there, we do manufacturing both for the domestic market and we export. And so in our business needs a certain economies of scale for it to make sense to manufacture. in country. And so that really means that we're going to be both in use for the domestic market and the export market. Great. Thank you. Yeah. Thanks.",1.772,103.44,6.18,16,0.998,2.621,15.967,124.74,21.14,0.053661,0.0882,speaker,-0.8658,speaker,0.2101,speaker,0.0529,speaker,0.7022,speaker,0.4412,speaker,0.2272,speaker,0.3774,speaker,-0.2135,speaker,-0.6096,speaker,-0.287
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,22,1230.455,1301.971,71.516,139,"Yeah, if you look at Apple Intelligence, my point earlier was that markets where we had rolled out Apple Intelligence during the Q1 period performed better on a year-over-year basis than markets where we had not. And so that gives us a positive indicator that we were pleased with. There are many compelling reasons to upgrade. And the other thing I would say that I think I mentioned earlier is that if you look at it from a launch to the end of the December quarter, and so that goes back to September, the 16 family is outperforming the 15 family. And so I think those are two good data points. Our next round of language rollouts will be in April. And so it will be in our Q3 quarter. And I'll let Kevin take the gross margin question.",1.755,116.62,5.87,25,0.897,1.441,22.413,122.53,19.97,0.056474,0.0791,speaker,-0.3078,speaker,0.1309,speaker,0.8513,speaker,0.0846,speaker,-0.7941,speaker,0.8868,speaker,0.1419,speaker,-0.2494,speaker,-0.2598,speaker,-0.1282
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,25,1401.685,1436.633,34.948,62,"I don't know the answer to your question precisely, but I think it is a combination of these products are so compelling. the M4-based products are so compelling that it's driving both upgrades at the double-digit level, and it's driving switchers at a double-digit level. And so we're seeing both come out, and I think it's just because of the compelling products.",2.97,106.44,8.58,13,0.815,2.3,10.591,128.94,19.06,0.060017,0.7309,speaker,-0.7388,speaker,0.8236,speaker,-0.2132,speaker,-0.4169,speaker,0.1051,speaker,-0.3229,speaker,0.8251,speaker,-0.2773,speaker,0.1807,speaker,-0.0677
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,26,1595.174,1661.307,66.133,132,"I do believe it will go mainstream. I'm getting feedback from people using different features today. And this is, keep in mind that on the iPhone side of our business, you either have to have an iPhone 15 Pro or iPhone 16 to use Apple Intelligence. And so the, as that base grows, I think the usage will continue to grow. And I think I know from my own personal experience, once you start using the features, you can't imagine not using them anymore. I know I get hundreds of emails a day and the summarization function is so important. So I think it's a combination of that and of course in April we roll out a whole series of new languages that we had mentioned and so the base grows further.",1.552,119.76,6.35,21,0.771,2.443,16.181,118.86,18.76,0.049576,-0.0299,speaker,-0.1749,speaker,0.2536,speaker,0.4964,speaker,-0.686,speaker,0.2548,speaker,0.2491,speaker,-0.2493,speaker,-0.2865,speaker,-1.1176,speaker,-0.3375
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,28,1745.699,1754.963,9.264,15,We are monitoring the situation and don't have anything more to add than that. Great.,2.447,97.15,0.0,3,1.167,2.721,3.501,118.18,18.66,0.047165,0.4503,speaker,-1.1321,speaker,-1.3696,speaker,-1.1004,speaker,1.7358,speaker,0.5459,speaker,-1.0483,speaker,-0.3217,speaker,-0.2896,speaker,-1.4173,speaker,-0.6141
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,29,1776.395,1801.859,25.464,47,I think the killer feature is different for different people. But I think for most they're going to find that they're going to use many of the features every day. And certainly one of those is Siri and that will be coming over the next several months.,1.536,110.74,4.71,10,0.916,3.522,9.163,123.47,20.58,0.058703,-0.0384,speaker,-0.5567,speaker,-0.1656,speaker,-0.4794,speaker,0.2008,speaker,1.3844,speaker,-0.469,speaker,0.2421,speaker,-0.2307,speaker,0.0174,speaker,-0.06
AAPL_2025_1_30_earnings_call_qa_features.json,AAPL,2025,1,1,2025_Q1,SPEAKER_01,30,1848.485,1901.978,53.493,96,"Yeah, Ben, I think it's different for different types of users. I mean, you have very early adopter kind of users that are very quick to jump on the latest technology that upgrade very frequently, and then you have people that are on the entire opposite side of that barbell, and most people are between those two points. I do think there were lots of units that are sold during the COVID period of time, and it's a huge opportunity for us as a company for more than one of the product categories. That's it for",1.823,107.68,4.49,20,1.087,3.922,21.733,122.08,21.41,0.05101,0.1155,speaker,-0.6863,speaker,-0.2218,speaker,0.4077,speaker,1.2465,speaker,1.8032,speaker,0.8172,speaker,0.0939,speaker,-0.2052,speaker,-0.9392,speaker,-0.3738
AAPL_2025_5_1_earnings_call_qa_features.json,AAPL,2025,5,2,2025_Q2,SPEAKER_00,1,51.736,123.472,71.736,144,"Well, on the data center side, we have a hybrid strategy. And so we utilize third parties in addition to the data center investments that we're making. And as I mentioned in the 500 billion, there's a number of states that we're expanding in. Some of those are data center investments. And so, we do plan on making investments in that area and we're not gating it. We invest in the business first, as Kevin talked about, is our most important thing to do. In terms of the foundation models, we want to have certain models. and we'll partner as well. And so I don't view it as a all of one or all of the other. We've been working on foundation models for quite some time and are shipping some today obviously with what's on device and what's in the private cloud compute.",0.928,120.44,4.18,25,0.938,3.697,23.454,113.94,27.9,0.055712,-0.3646,speaker,-0.1461,speaker,-0.3011,speaker,0.8513,speaker,0.3353,speaker,1.5676,speaker,0.9933,speaker,-0.7737,speaker,-0.006,speaker,-0.3546,speaker,-0.2444
AAPL_2025_5_1_earnings_call_qa_features.json,AAPL,2025,5,2,2025_Q2,SPEAKER_00,3,143.89,174.721,30.831,57,"We're super excited to ship the first one and get it out there and it's gone well. We love that we can produce better products from a point of view of really focusing on battery life and other things that customers want. And so we have started on a journey, is the way I would put it.",0.708,110.93,3.89,10,1.052,1.861,10.525,109.11,15.25,0.048995,-0.4827,speaker,-0.5487,speaker,-0.3752,speaker,-0.4794,speaker,1.0325,speaker,-0.3544,speaker,-0.3296,speaker,-1.2885,speaker,-0.3943,speaker,-1.1898,speaker,-0.6751
